Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral,Category
143364,"46.11389,7.33000",2314,Unknown,Tundra,Gasparite,SULFATE_UND_HYDROXIDE
188630,"46.34167,9.61056",1179,Gully,Tundra,Uraninite,PHOSPHATE
191945,"46.84084,9.43908",694,Unknown,Tundra,Dravite,PHOSPHATE
193533,"46.97856,9.25316",1960,Unknown,Tundra,Uraninite,PHOSPHATE
3211,"46.55333,9.64694",2143,Mine (Abandoned) - last checked 2023,Tundra,Chalcedony,QUARTZ
16292,"46.22525,7.17897",1809,Unknown,Tundra,Chlorite,CHLORIT
133230,"46.49685,9.64947",1935,Occurrence,Tundra,Ferro-actinolite-Tremolite Series,SILICATE
341186,"46.42847,9.63701",2340,Deposit,Tundra,Bravoite,OXIDE
245669,"46.84876,9.44671",1106,Prospect,Tundra,Cerussite,PHOSPHATE
188746,"47.37413,7.88002",606,Pit,Temperate oceanic climate,Marcasite,SULFIDE
29322,"46.84778,9.43667",1244,Mine,Tundra,Cerussite,PHOSPHATE
341185,"46.39012,9.65378",1827,Slag Locality,Tundra,Fayalite-Forsterite Series,PYROXENE
193405,"46.74969,8.66658",1523,Mine,Tundra,Stannite,SULFIDE
57442,"46.56406,8.63472",2692,Unknown,Tundra,Apatite,QUARTZ
123472,"46.44914,8.26452",1629,Valley,Subarctic climate,Zircon,ALUMINIUM_SILIKATE
424885,"46.68782,7.35603",1232,Scree Slope,Temperate oceanic climate,Baryte,CARBONATE
108068,"46.61395,8.56666",1694,Quarry,Tundra,Magnesite,SULFATE_UND_HYDROXIDE
134448,"46.23500,7.71194",1760,Alluvials,Tundra,Sperrylite,CARBONATE
133204,"46.59078,8.80375",1809,Mountain,Tundra,Zircon,ALUMINIUM_SILIKATE
